Object ID,FIPS_CODE,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OCR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED
161,17031120200,4725,43.5,5.8,40.33333333,15.1,58.2,5.2
162,17031120300,6516,44.3,4.2,55.03875969,14.9,64.8,3.6
163,17031120400,3749,39.9,6.4,14.33823529,19.9,38.1,4.6
164,17031130100,5228,50,13.1,17.16961498,21.8,48.5,3.5
165,17031130200,1547,48.7,5.2,9.615384615,11.8,56.7,5.6
166,17031130300,5482,33.9,19.5,24.16918429,18.2,40.8,10.8
167,17031140100,3527,27,30.1,22.38267148,15.1,35.6,8.1
168,17031140200,6429,28.4,26.2,21.7765043,26.5,30.3,2.8
169,17031140301,2700,32.3,24.8,20.55045872,18.4,31.1,7
170,17031140302,4127,38.3,12.9,11.14649682,25.4,37.3,7.6
171,17031140400,6011,41.4,6.2,7.391910739,24.3,39.5,4.4
172,17031140500,4264,35.6,12.8,22.18798151,29.2,31.9,8.7
173,17031140601,2927,37.7,13.4,18.31238779,24.1,20.4,7
174,17031140602,4822,30.7,24.4,15.65304088,29.6,29.5,8
175,17031140701,2920,33.8,13.5,19.52817824,23.5,34.4,4.6
176,17031140702,6162,33.6,19.8,17.92717087,26,30.7,7
177,17031140800,6454,37.4,14.8,23.74323279,20.7,51.4,1.8
178,17031150200,7747,38.1,13,21.70846395,21.2,39.5,8.5
179,17031150300,7859,38.3,8.1,25.71872572,30.1,41,3.9
180,17031150401,5228,39.1,9.3,22.43107769,32.2,32.4,6
181,17031150402,3599,36.3,4.7,4.358974359,33.2,30.8,4.5
182,17031150501,3957,42.6,6.5,9.090909091,29.4,29.6,8.6
183,17031150502,4378,38.8,16.7,26.0707635,25.6,31.1,6.9
184,17031150600,4246,38.5,10,36.23529412,36.1,24,3.6
185,17031150700,4197,38.2,17.9,18.71750433,28.8,28,0.9
186,17031150800,4967,37.3,5,11.94968553,25.4,26.6,9.6
187,17031151001,2714,35.4,17.3,22.35294118,30,22.6,6.3
188,17031151002,4770,35.8,10.1,20.02412545,27.6,19.4,7.4
189,17031151100,5325,36.3,17.6,25.76235542,29.3,22.2,5.3
190,17031151200,3474,40.6,9.7,14.95327103,38.2,23.7,6.1
191,17031160100,2577,36.2,9.4,23.71794872,21.3,42.1,7.6
192,17031160200,3002,41.6,6.9,17.99485861,18.2,49.7,2.8
193,17031160300,3764,34.4,12.1,8.115942029,18.8,47.2,4.8
194,17031160400,4693,34.8,14.8,17.21224921,21.7,40.1,3.2
195,17031160501,3870,31.8,14.1,14.40677966,21.9,35,3.7
196,17031160502,3782,32.2,11.7,24.72222222,31.2,28.1,7
197,17031160601,3529,35.3,10,21.37628111,14.1,48.8,3.2
198,17031160602,3681,35.8,5.9,9.429280397,17.2,42.8,1.6
199,17031160700,6191,40.2,14.6,14.34359806,21.4,40.5,4.9
200,17031160800,4909,35.9,7.5,18.11391223,22.3,31.5,5
201,17031160900,2464,38.6,9.4,19.80952381,19.8,52.6,4.1
202,17031161000,2151,35.7,6.4,17.63085399,14.6,55.2,3.2
203,17031161100,2043,40.3,2.1,11.84210526,12.1,63.8,2.2
204,17031161200,3090,34.5,11.8,22.01591512,30.7,28.4,3.3
205,17031161300,3919,36.6,8.1,15.28384279,30.8,23.8,5.8
206,17031170100,2058,57.2,10.3,35.19736842,28.7,25.9,8.5
207,17031170200,4106,36.5,8.1,22.88557214,29.1,26.7,2.6
208,17031170300,5350,37.8,8.4,19.91084695,32.6,32.3,2
209,17031170400,4044,41.3,11.9,18.30663616,29.2,27,3.3
210,17031170500,5593,42.2,5.9,21.58119658,31.6,27.9,3.4
211,17031170600,2468,46.6,4.8,0,36.7,21.7,5
212,17031170700,3177,42.2,8.4,40.0921659,32.1,30.3,6.3
213,17031170800,4189,38.7,6.4,25,40.2,22.1,4
214,17031170900,1881,40.9,6.7,28.06122449,36.2,23.6,4.5
215,17031171000,7328,42.6,8.7,26.55279503,30.5,23.7,6.6
216,17031171100,3841,36.4,9.5,33.33333333,28.2,31,3.3
217,17031180100,6360,38,18.5,24.13793103,33.4,18.2,5
218,17031190100,2606,35.1,22.9,37.09401709,31.4,13.7,3.8
