GEOID,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OVR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,COMMUNITY_AREA_GROUP
17031081300,5313,57.9,12.3,19.3,3.8,81.4,5.2,8,NEAR NORTH SIDE,Central
17031081401,2342,51.9,12.3,30.6,5.5,73.5,2.8,8,NEAR NORTH SIDE,Central
17031081402,5325,37.4,11.1,20.1,1.5,85.6,2.7,8,NEAR NORTH SIDE,Central
17031081403,8046,33.2,10.8,19.7,4.5,87.4,1,8,NEAR NORTH SIDE,Central
17031081500,4585,36.2,9.7,21.8,6.5,87.4,1.6,8,NEAR NORTH SIDE,Central
17031081600,4000,33.5,8,14.9,3.6,85.3,3.5,8,NEAR NORTH SIDE,Central
17031081700,3831,31.8,7.2,15.4,2.2,88.2,4.6,8,NEAR NORTH SIDE,Central
17031081800,9919,33.5,2.6,10.7,3.8,88.6,2.7,8,NEAR NORTH SIDE,Central
17031081900,923,33.2,22.6,17,20.2,63.6,1.9,8,NEAR NORTH SIDE,Central
17031090100,3508,43.5,3.9,23.8,20.2,44.8,2.8,9,EDISON PARK,Far North
17031090200,6838,37.9,2.1,11,20.2,51.8,1.9,9,EDISON PARK,Far North
17031090300,1378,40.7,3.4,6.3,22.1,52.3,0.5,9,EDISON PARK,Far North
17031100100,5563,38.5,7.2,18.8,27.2,36.7,9.3,10,NORWOOD PARK,Far North
17031100200,6872,41.5,9.6,20.2,31.2,35,3.2,10,NORWOOD PARK,Far North
17031100300,6186,50.1,4,46.9,26.3,42.9,2.3,10,NORWOOD PARK,Far North
17031100400,3364,40.8,5.3,13.3,20,43.3,5.2,10,NORWOOD PARK,Far North
17031100500,5696,44.2,5.9,48.9,22.1,39.8,0.7,10,NORWOOD PARK,Far North
17031100600,4789,43.4,5.2,6.8,27.2,37.6,3,10,NORWOOD PARK,Far North
17031100700,4700,46.2,4,23,26.4,39.5,4.3,10,NORWOOD PARK,Far North
17031110100,5367,37.5,12.1,23.6,19.7,39.9,5.2,11,JEFFERSON PARK,Far North
17031110200,3433,39.5,9,7.4,31.3,29.8,7,11,JEFFERSON PARK,Far North
17031110300,5720,42,13.2,8.5,26,30.4,3.9,11,JEFFERSON PARK,Far North
17031110400,4467,42.1,8.2,16.7,26.1,40.5,5,11,JEFFERSON PARK,Far North
17031110501,5390,41.1,5.2,16.8,24.5,40.1,5,11,JEFFERSON PARK,Far North
17031110502,3612,36,9.6,14.7,28.6,36.4,2.7,11,JEFFERSON PARK,Far North
17031120100,4102,46.4,2.5,21.1,15.4,60.9,2.6,12,FOREST GLEN,Far North
17031120200,4725,43.5,5.8,40.3,15.1,58.2,5.2,12,FOREST GLEN,Far North
17031120300,6516,44.3,4.2,55,14.9,64.8,3.6,12,FOREST GLEN,Far North
17031120400,3749,39.9,6.4,14.3,19.9,38.1,4.6,12,FOREST GLEN,Far North
17031130100,5228,50,13.1,17.2,21.8,48.5,3.5,13,NORTH PARK,Far North
17031130200,1547,48.7,5.2,9.6,11.8,56.7,5.6,13,NORTH PARK,Far North
17031130300,5482,33.9,19.5,24.2,18.2,40.8,10.8,13,NORTH PARK,Far North
17031140100,3527,27,30.1,22.4,15.1,35.6,8.1,14,ALBANY PARK,Far North
17031140200,6429,28.4,26.2,21.8,26.5,30.3,2.8,14,ALBANY PARK,Far North
17031140301,2700,32.3,24.8,20.6,18.4,31.1,7,14,ALBANY PARK,Far North
17031140302,4127,38.3,12.9,11.1,25.4,37.3,7.6,14,ALBANY PARK,Far North
17031140400,6011,41.4,6.2,7.4,24.3,39.5,4.4,14,ALBANY PARK,Far North
17031140500,4264,35.6,12.8,22.2,29.2,31.9,8.7,14,ALBANY PARK,Far North
17031140601,2927,37.7,13.4,18.3,24.1,20.4,7,14,ALBANY PARK,Far North
17031140602,4822,30.7,24.4,15.7,29.6,29.5,8,14,ALBANY PARK,Far North
17031140701,2920,33.8,13.5,19.5,23.5,34.4,4.6,14,ALBANY PARK,Far North
17031140702,6162,33.6,19.8,17.9,26,30.7,7,14,ALBANY PARK,Far North
17031140800,6454,37.4,14.8,23.7,20.7,51.4,1.8,14,ALBANY PARK,Far North
17031150200,7747,38.1,13,21.7,21.2,39.5,8.5,15,PORTAGE PARK,Northwest
17031150300,7859,38.3,8.1,25.7,30.1,41,3.9,15,PORTAGE PARK,Northwest
17031150401,5228,39.1,9.3,22.4,32.2,32.4,6,15,PORTAGE PARK,Northwest
17031150402,3599,36.3,4.7,4.4,33.2,30.8,4.5,15,PORTAGE PARK,Northwest
17031150501,3957,42.6,6.5,9.1,29.4,29.6,8.6,15,PORTAGE PARK,Northwest
17031150502,4378,38.8,16.7,26.1,25.6,31.1,6.9,15,PORTAGE PARK,Northwest
17031150600,4246,38.5,10,36.2,36.1,24,3.6,15,PORTAGE PARK,Northwest
17031150700,4197,38.2,17.9,18.7,28.8,28,0.9,15,PORTAGE PARK,Northwest
17031150800,4967,37.3,5,11.9,25.4,26.6,9.6,15,PORTAGE PARK,Northwest
17031151001,2714,35.4,17.3,22.4,30,22.6,6.3,15,PORTAGE PARK,Northwest
17031151002,4770,35.8,10.1,20,27.6,19.4,7.4,15,PORTAGE PARK,Northwest
17031151100,5325,36.3,17.6,25.8,29.3,22.2,5.3,15,PORTAGE PARK,Northwest
17031151200,3474,40.6,9.7,15,38.2,23.7,6.1,15,PORTAGE PARK,Northwest
17031160100,2577,36.2,9.4,23.7,21.3,42.1,7.6,16,IRVING PARK,Northwest
17031160200,3002,41.6,6.9,18,18.2,49.7,2.8,16,IRVING PARK,Northwest
17031160300,3764,34.4,12.1,8.1,18.8,47.2,4.8,16,IRVING PARK,Northwest
17031160400,4693,34.8,14.8,17.2,21.7,40.1,3.2,16,IRVING PARK,Northwest
17031160501,3870,31.8,14.1,14.4,21.9,35,3.7,16,IRVING PARK,Northwest
17031160502,3782,32.2,11.7,24.7,31.2,28.1,7,16,IRVING PARK,Northwest
17031160601,3529,35.3,10,21.4,14.1,48.8,3.2,16,IRVING PARK,Northwest
17031160602,3681,35.8,5.9,9.4,17.2,42.8,1.6,16,IRVING PARK,Northwest
17031160700,6191,40.2,14.6,14.3,21.4,40.5,4.9,16,IRVING PARK,Northwest
17031160800,4909,35.9,7.5,18.1,22.3,31.5,5,16,IRVING PARK,Northwest
17031160900,2464,38.6,9.4,19.8,19.8,52.6,4.1,16,IRVING PARK,Northwest
17031161000,2151,35.7,6.4,17.6,14.6,55.2,3.2,16,IRVING PARK,Northwest
17031161100,2043,40.3,2.1,11.8,12.1,63.8,2.2,16,IRVING PARK,Northwest
17031161200,3090,34.5,11.8,22,30.7,28.4,3.3,16,IRVING PARK,Northwest
17031161300,3919,36.6,8.1,15.3,30.8,23.8,5.8,16,IRVING PARK,Northwest
17031170100,2058,57.2,10.3,35.2,28.7,25.9,8.5,17,DUNNING,Northwest
17031170200,4106,36.5,8.1,22.9,29.1,26.7,2.6,17,DUNNING,Northwest
17031170300,5350,37.8,8.4,19.9,32.6,32.3,2,17,DUNNING,Northwest
17031170400,4044,41.3,11.9,18.3,29.2,27,3.3,17,DUNNING,Northwest
17031170500,5593,42.2,5.9,21.6,31.6,27.9,3.4,17,DUNNING,Northwest
17031170600,2468,46.6,4.8,0,36.7,21.7,5,17,DUNNING,Northwest
17031170700,3177,42.2,8.4,40.1,32.1,30.3,6.3,17,DUNNING,Northwest
17031170800,4189,38.7,6.4,25,40.2,22.1,4,17,DUNNING,Northwest
